Consumer Price Index item,Year,Percent change
Fresh fruits,2012,1
Fresh fruits,2013,2
Fresh fruits,2014,4.8
Fresh fruits,2015,-2.2
Fresh fruits,2016,2.2
Fresh fruits,2017,0.5
Fresh fruits,2018,1
Fresh fruits,2019,-1.4
Fresh fruits,2020,-0.8
Fresh fruits,2021,5.5
Fresh vegetables,2007,3.2
Fresh vegetables,2008,5.6
Fresh vegetables,2009,-3.4
Fresh vegetables,2010,2
Fresh vegetables,2011,5.6
Fresh vegetables,2012,-5.1
Fresh vegetables,2013,4.7
Fresh vegetables,2014,-1.3
Fresh vegetables,2015,1.6
Fresh vegetables,2016,0
Fresh vegetables,2017,-0.1
Fresh vegetables,2018,1.1
Fresh vegetables,2019,3.8
Fresh vegetables,2020,2.6
Fresh vegetables,2021,1.1
Processed fruits and vegetables,2007,3.6
Processed fruits and vegetables,2008,9.5
Processed fruits and vegetables,2009,6.6
Processed fruits and vegetables,2010,-1.3
Processed fruits and vegetables,2011,2.9
Processed fruits and vegetables,2012,3.8
Processed fruits and vegetables,2013,0.3
Processed fruits and vegetables,2014,0.1
Processed fruits and vegetables,2015,0.7
Processed fruits and vegetables,2016,-0.3
Processed fruits and vegetables,2017,-1.6
Processed fruits and vegetables,2018,-0.6
Processed fruits and vegetables,2019,1.1
Processed fruits and vegetables,2020,3.5
Processed fruits and vegetables,2021,2.9
Sugar and sweets,2007,3.1
Sugar and sweets,2008,5.5
Sugar and sweets,2009,5.6
Sugar and sweets,2010,2.2
Sugar and sweets,2011,3.3
Sugar and sweets,2012,3.3
Sugar and sweets,2013,-1.7
Sugar and sweets,2014,-0.8
Sugar and sweets,2015,3.2
Sugar and sweets,2016,-0.4
Sugar and sweets,2017,-0.1
Sugar and sweets,2018,0.4
Sugar and sweets,2019,2
Sugar and sweets,2020,3.3
Sugar and sweets,2021,3
Cereals and bakery products,2007,4.4
Cereals and bakery products,2008,10.2
Cereals and bakery products,2009,3.2
Cereals and bakery products,2010,-0.8
Cereals and bakery products,2011,3.9
Cereals and bakery products,2012,2.8
Cereals and bakery products,2013,1
Cereals and bakery products,2014,0.2
Cereals and bakery products,2015,1.1
Cereals and bakery products,2016,-0.3
Cereals and bakery products,2017,-0.5
Cereals and bakery products,2018,0.4
Cereals and bakery products,2019,1.4
Cereals and bakery products,2020,2.2
Cereals and bakery products,2021,2.3
Nonalcoholic beverages,2007,4.1
Nonalcoholic beverages,2008,4.3
Nonalcoholic beverages,2009,1.9
Nonalcoholic beverages,2010,-0.9
Nonalcoholic beverages,2011,3.2
Nonalcoholic beverages,2012,1.1
Nonalcoholic beverages,2013,-1
Nonalcoholic beverages,2014,-0.5
Nonalcoholic beverages,2015,1.1
Nonalcoholic beverages,2016,-0.4
Nonalcoholic beverages,2017,0.2
Nonalcoholic beverages,2018,0
Nonalcoholic beverages,2019,1.9
Nonalcoholic beverages,2020,3.6
Nonalcoholic beverages,2021,2.8
Other foods,2007,1.8
Other foods,2008,5.2
Other foods,2009,3.7
Other foods,2010,-0.5
Other foods,2011,2.3
Other foods,2012,3.5
Other foods,2013,0.5
Other foods,2014,1
Other foods,2015,1.6
Other foods,2016,0.3
Other foods,2017,0.1
Other foods,2018,0.1
Other foods,2019,0.3
Other foods,2020,3.1
Other foods,2021,2.2
